Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1450|2|21550|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1457|2|31412|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1459|2|31046|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1460|2|30681|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1461|2|20454|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1469|2|32507|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1472|2|26663|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1492|2|31046|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1493|2|29950|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1494|2|21915|n/a|n/a|n/a|
